Numéro Étudiant,Nom,Prénom,Age,Filière,Email
ST22086,Isy,Islande,31,Intelligence Artificielle,islande.isy@student.edu
ST20156,Mohamed,Mohamed,35,Intelligence Artificielle,mohamed.mohamed@student.edu
ST26976,Ilyas,Ilyas,26,Business,ilyas.ilyas@student.edu
ST24605,Peniel,Peniel,21,Intelligence Artificielle,peniel.peniel@student.edu
ST28350,Smith,John,22,Business,john.smith@student.edu
ST29526,Baumbilia,John,29,Intelligence Artificielle,john.baumbilia@student.edu
ST22715,Keenan,Christian,32,Business,christian.keenan@student.edu
ST27297,Tommy,Raphael,30,Intelligence Artificielle,raphael.tommy@student.edu
ST24373,Zahara,Fatima,32,Business,fatima.zahara@student.edu
ST27568,Elimane,Elimane,23,Intelligence Artificielle,elimane.elimane@student.edu
ST20404,Ibtissam,Ibtissam,29,Business,ibtissam.ibtissam@student.edu
ST28233,Martinez,Theodore,34,Intelligence Artificielle,theodore.martinez@student.edu
ST27493,Petit,Adam,31,Data Science,adam.petit@student.edu
ST23418,Jones,Isabella,26,Cybersécurité,isabella.jones@student.edu
ST24178,Andre,Theodore,29,Entrepreneuriat,theodore.andre@student.edu
ST20236,Garnier,Léo,35,Management International,léo.garnier@student.edu
ST24411,Jones,Mia,28,Marketing Digital,mia.jones@student.edu
ST23106,Andre,Elijah,20,Management International,elijah.andre@student.edu
ST28762,Johnson,Manon,24,Innovation Technologique,manon.johnson@student.edu
ST20982,Laurent,Lucas,22,Innovation Technologique,lucas.laurent@student.edu
ST26608,François,Amelia,29,Intelligence Artificielle,amelia.françois@student.edu
ST20741,Garcia,Jules,24,Data Science,jules.garcia@student.edu
ST29739,Johnson,Liam,28,Marketing Digital,liam.johnson@student.edu
ST26855,Johnson,Theodore,22,Business,theodore.johnson@student.edu
ST29540,Girard,Sarah,18,Data Science,sarah.girard@student.edu
ST29868,Jones,Harper,19,Intelligence Artificielle,harper.jones@student.edu
ST22330,Taylor,Sophia,19,Innovation Technologique,sophia.taylor@student.edu
ST27412,Legrand,Clara,35,Innovation Technologique,clara.legrand@student.edu
ST20641,Girard,Evelyn,33,Data Science,evelyn.girard@student.edu
ST20373,Robert,Louis,18,Finance,louis.robert@student.edu
ST24149,Legrand,Emma,32,Cybersécurité,emma.legrand@student.edu
ST27263,Bonnet,Clara,25,Business,clara.bonnet@student.edu
ST25503,Richard,Olivia,28,Management International,olivia.richard@student.edu
